SUB AL,imm8 | 2C  ib
SUB AX,imm16 | 2D  iw
SUB EAX,imm32 | 2D  id
SUB r/m8,imm8 | 80  /5 ib      /pprefixlock
SUB r/m8,imm8 | 82  /5 /pundoc /pprefixlock /pi386 ib
SUB r/m16,imm16 | 81  /5 iw      /pprefixlock
SUB r/m32,imm32 | 81  /5 id      /pprefixlock
SUB r/m16,imm8 | 83  /5 ib      /pprefixlock
SUB r/m32,imm8 | 83  /5 ib      /pprefixlock
SUB r/m8,r8 | 28  /r         /pprefixlock
SUB r/m16,r16 | 29  /r         /pprefixlock
SUB r/m32,r32 | 29  /r         /pprefixlock
SUB r8,r/m8 | 2A  /r
SUB r16,r/m16 | 2B  /r
SUB r32,r/m32 | 2B  /r
