VADDPD xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F.WIG 58 /r
VADDPD ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.66.0F.WIG 58 /r
VADDPS xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.0F.WIG 58 /r
VADDPS ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.0F.WIG 58 /r
VADDSD xmm1, xmm2, xmm3/mem64 | VEX.NDS.128.F2.0F.WIG 58 /r
VADDSS xmm1, xmm2, xmm3/mem32 | VEX.NDS.128.F3.0F.WIG 58 /r
VANDPD xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F.WIG 54 /r
VANDPD ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.66.0F.WIG 54 /r
VANDPS xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.0F.WIG 54 /r
VANDPS ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.0F.WIG 54 /r
VANDNPD xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F.WIG 55 /r
VANDNPD ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.66.0F.WIG 55 /r
VANDNPS xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.0F.WIG 55 /r
VANDNPS ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.0F.WIG 55 /r
VDIVPD xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F.WIG 5E /r
VDIVPD ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.66.0F.WIG 5E /r
VDIVPS xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.0F.WIG 5E /r
VDIVPS ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.0F.WIG 5E /r
VDIVSD xmm1, xmm2, xmm3/mem64 | VEX.NDS.128.F2.0F.WIG 5E /r
VDIVSS xmm1, xmm2, xmm3/mem32 | VEX.NDS.128.F3.0F.WIG 5E /r
VMAXPD xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F.WIG 5F /r
VMAXPD ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.66.0F.WIG 5F /r
VMAXPS xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.0F.WIG 5F /r
VMAXPS ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.0F.WIG 5F /r
VMAXSD xmm1, xmm2, xmm3/mem64 | VEX.NDS.128.F2.0F.WIG 5F /r
VMAXSS xmm1, xmm2, xmm3/mem32 | VEX.NDS.128.F3.0F.WIG 5F /r
VMINPD xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F.WIG 5D /r
VMINPD ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.66.0F.WIG 5D /r
VMINPS xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.0F.WIG 5D /r
VMINPS ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.0F.WIG 5D /r
VMINSD xmm1, xmm2, xmm3/mem64 | VEX.NDS.128.F2.0F.WIG 5D /r
VMINSS xmm1, xmm2, xmm3/mem32 | VEX.NDS.128.F3.0F.WIG 5D /r
VMULPD xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F.WIG 59 /r
VMULPD ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.66.0F.WIG 59 /r
VMULPS xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.0F.WIG 59 /r
VMULPS ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.0F.WIG 59 /r
VMULSD xmm1, xmm2, xmm3/mem64 | VEX.NDS.128.F2.0F.WIG 59 /r
VMULSS xmm1, xmm2, xmm3/mem32 | VEX.NDS.128.F3.0F.WIG 59 /r
VORPD xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F.WIG 56 /r
VORPD ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.66.0F.WIG 56 /r
VORPS xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.0F.WIG 56 /r
VORPS ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.0F.WIG 56 /r
VSUBPD xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.66.0F.WIG 5C /r
VSUBPD ymm1, ymm2, ymm3/mem256 | VEX.NDS.256.66.0F.WIG 5C /r
VSUBPS xmm1, xmm2, xmm3/mem128 | VEX.NDS.128.0F.WIG 5C /r
